"title","imdbid","rating","year","id"
"Passage de Venus","3155794",0,1874,9602
"La Rosace Magique","14495706",0,1877,9804
"Sallie Gardner at a Gallop","2221420",0,1878,9603
"Le singe musicien","12592084",0,1878,9806
"Athlete Swinging a Pick","7816420",0,1881,9816
"Buffalo Running","5459794",0,1883,9831
"L&#39;homme machine","8588366",0,1885,9832
"Man Walking Around the Corner","2075247",0,1887,9614
"Cockatoo Flying","8133192",0,1887,9836
"Child Carrying Flowers to Woman","7411790",0,1887,9837
"Jumping Over a Man&#39;s Back-Leapfrog","7541160",0,1887,9838
"Man Riding Jumping Horse","7754902",0,1887,9841
"Baboon Climbing a Pole","8361552",0,1887,9902
"Roundhay Garden Scene","0392728",0,1888,8040
"Accordion Player","1758563",0,1888,9615
"Traffic Crossing Leeds Bridge","0343112",0,1888,9616
"Pferd und Reiter Springen uber ein Hindernis","3274100",0,1888,9675
"Brighton Street Scene","2116853",0,1888,9947
"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses","0466876",0,1889,9619
"Hyde Park Corner","2116898",0,1889,9945
"Monkeyshines, No. 1","0361921",0,1890,9617
"Monkeyshines, No. 2","0416046",0,1890,9618
"London&#39;s Trafalgar Square","1202028",0,1890,9621
"Monkeyshines, No. 3","0416047",0,1890,9678
"Mosquinha","5285442",0,1890,9946
"Traffic in King&#39;s Road, Chelsea","2116968",0,1890,9944
"Dickson Greeting","0241373",0,1891,9626
"Men Boxing","0241715",0,1891,9628
"Newark Athlete","0241763",0,1891,9629
"Duncan and Another, Blacksmith Shop","0241393",0,1891,9792
"Duncan Smoking","0241392",0,1891,9793
"Duncan or Devonald with Muslin Cloud","0241394",0,1891,9794
"Monkey and Another, Boxing","0241735",0,1891,9795
"Je vous aime","3201916",0,1891,9800
"La vague","3508566",0,1891,9802
"Two Fencers","5447082",0,1891,9943
"Pauvre Pierrot","0000003",0,1892,5433
"Un bon bock","0000004",0,1892,9631
"Le clown et ses chiens","0000002",0,1892,9632
"Fencing","0241446",0,1892,9951
"Le prince de Galles","0234520",0,1892,9952
"Wrestling","0242148",0,1892,9948
"Boxing","0241266",0,1892,9986
"Blacksmith Scene","0000005",0,1893,9583
"Annabelle Butterfly Dance","0229217",0,1894,9636
"Edison Kinetoscope Records: Annie Oakley","8419312",0,1894,9642
"Autour d&#39;une cabine","0000015",0,1894,9646
"Barbershop, The","0229235",0,1894,9648
"Bucking Broncho","0309396",0,1894,9649
"Buffalo Dance","0309402",0,1894,9650
"Edison Kinetoscopic Record of a Sneeze","0000008",0,1894,9652
"Dickson Experimental Sound Film","0177707",0,1894,9654
"Chinese Opium Den","0000006",0,1894,9655
"Corbett and Courtney Before the Kinetograph","0000007",0,1894,9656
"Falling Cat","2049440",0,1894,9662
"Glenroy Bros., No. 2","0312728",0,1894,9663
"Glenroy Brothers","0256782",0,1894,9664
"Leonard-Cushing Fight","0203646",0,1894,9668
"Luis Martinetti, Contortionist","0277115",0,1894,9671
"Sandow No. 2","2161519",0,1894,9673
"Sandow No. 3","2161521",0,1894,9674
"Reve au coin du feu","0413219",0,1894,9681
"Miss Jerry","0000009",0,1894,9779
"Tables Turned on the Gardener","0000014",0,1895,5444
"Execution of Mary, Queen of Scots, The","0132134",0,1895,6200
"Akrobatisches Potpourri","0000011",1,1895,9679
"Annabelle Serpentine Dance","0154152",0,1895,9683
"Italienischer Bauerntanz","0000017",0,1895,9714
"Baby&#39;s Dinner","0000029",1,1895,9715
"Billy Edwards and the Unknown","0477266",0,1895,9766
"Blacksmith Scene","0000022",0,1895,9767
"Barque sortant du port","0000016",0,1895,9787
"House of the Devil, The","0000091",0,1896,4982
"Une nuit terrible","0000131",0,1896,5406
"La fee aux choux","0223341",0,1896,5445
"Arrival of a Train, The","0000012",0,1896,6199
"Sandow","1428455",0,1896,9672
"Alger: rue Bab-Azoun","1672718",0,1896,9949
"Lassage des boeufs pour le labour","1736599",0,1896,9950
"Lancement d&#39;un navire","0222137",0,1896,9901
"Bataille de neige","0000041",0,1897,9328
"Four Heads Are Better Than One","0135696",0,1898,4978
"Astronomer&#39;s Dream; or, The Man in the Moon, The","0000211",0,1898,5410
"Temptation of St. Anthony, The","0224240",0,1898,5411
"A Turn of the Century Illusionist","0000246",0,1899,4994
"Cinderella","0000230",3,1899,5914
"Sherlock Holmes Baffled","0291476",0,1900,1594
"Enchanted Drawing, The","0000300",0,1900,4271
"Grandma&#39;s Reading Glass","0000304",0,1900,4343
"As Seen Through A Telescope (a.k.a The Professor and His Field Glass)","0000272",0,1900,4344
"Explosion of a Motor Car (a.k.a The Dlights of Automobiling)","0257654",0,1900,4345
"Hamlet ( Le Duel d&#39;Hamlet)","0000306",0,1900,4346
"One-Man Band, The","0135453",0,1900,4993
"Grandma Threading Her Needle","0377995",0,1900,5069
"Searching Ruins on Broadway, Galveston, for Dead Bodies","0230746",0,1900,5072
"Let Me Dream Again","0000313",0,1900,5438
"Doctor and the Monkey, The","0227438",0,1900,5446
"L&#39;homme a la tete en caoutchouc","0000359",0,1901,4995
"Reve et realite","0258104",0,1901,5437
"Bluebeard","0131934",0,1901,5500
"Le voyage dans la lune","0000417",0,1902,1252
"Gulliver&#39;s Travels","0229024",0,1902,5431
"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The","0367177",0,1902,5432
"Mephistopheles&#39; School of Magic","0000413",0,1902,5443
"Great Train Robbery, The","0000439",0,1903,1319
"Infernal Boiling Pot, The","0135180",0,1903,5002
"Music Lover, The","0000455",0,1903,5063
"Monster, The","0223755",0,1903,5064
"Enchanted Well, The","0189498",0,1903,5683
"Cook in Trouble, The","0215664",0,1904,5224
"Living Playing Cards, The","0135179",0,1904,5404
"Untamable Whiskers, The","0135631",0,1904,5601
"Le voyage a travers l&#39;impossible","0000499",0,1904,6135
"Scheming Gambler&#39;s Paradise, The","0135690",0,1905,5003
"Black Imp, The","0215575",0,1905,5602
"Story of the Kelly Gang, The","0000574",1,1906,1349
"Mysterious Retort, The","0216016",0,1906,5024
"Humorous Phases of Funny Faces","0000554",0,1906,5435
"Hilarious Posters, The","0135122",0,1906,5603
"400 Tricks of the Devil, The","0000567",0,1906,5684
"A Funny Shave","0449172",0,1906,6206
"Consequence of Feminism, The","1260944",0,1906,7215
"Eclipse: Courtship of the Sun and Moon, The","0215737",0,1907,5223
"Good Glue Sticks","0215817",0,1907,5615
"Unusual Cooking","1802750",0,1908,6231
"Princess Nicotine; or, The Smoke Fairy","0001009",2,1909,4409
"Devilish Tenant, The","0127948",0,1909,5635
"Le barometre de la fidelite","0277596",1,1909,6211
